 0.00  0.00      0.00000003
 0.00  0.01      0.00000000
 0.00  0.02      0.00000037
 0.00  0.03      0.00000025
 0.00  0.04     -0.00000003
 0.00  0.05      0.00000168
 0.00  0.06     -0.00000002
 0.00  0.07     -0.00000080
 0.00  0.08      0.00000459
 0.00  0.09      0.00000408
 0.00  0.10      0.00000411
 0.00  0.11     -0.00000284
 0.00  0.12      0.00008816
 0.00  0.13     -0.00011277
 0.00  0.14     -0.00644578
 0.00  0.15     -0.04914990
 0.00  0.16     -0.10592918
 0.00  0.17      0.16528307
 0.00  0.18      0.03536478
 0.00  0.19      0.04313519
 0.00  0.20     -0.06818431
 0.00  0.21     -0.06104866
 0.00  0.22     -0.09890470
 0.00  0.23     -0.07854109
 0.00  0.24     -0.06060609
 0.00  0.25     -0.10349597
 0.00  0.26     -0.02018334
 0.00  0.27     -0.14342340
 0.00  0.28     -0.07335809
 0.00  0.29     -0.12704397
 0.00  0.30     -0.09747466
 0.00  0.31     -0.05160280
 0.00  0.32      0.02814386
 0.00  0.33      0.09641637
 0.00  0.34      0.03268107
 0.00  0.35      0.04638997
 0.00  0.36      0.13130027
 0.00  0.37      0.07208942
 0.00  0.38     -0.00561253
 0.00  0.39     -0.10019161
 0.00  0.40     -0.10323189
 0.00  0.41     -0.04949781
 0.00  0.42     -0.04091147
 0.00  0.43      0.05683801
 0.00  0.44      0.08770940
 0.00  0.45      0.03037986
 0.00  0.46      0.04901733
 0.00  0.47     -0.00100480
 0.00  0.48     -0.12061646
 0.00  0.49     -0.09838179
 0.00  0.50      0.05900944
 0.00  0.51      0.12928867
 0.00  0.52      0.01109546
 0.00  0.53     -0.08397356
 0.00  0.54     -0.02392311
 0.00  0.55      0.02579852
 0.00  0.56      0.01155716
 0.00  0.57      0.01279810
 0.00  0.58     -0.00429379
 0.00  0.59     -0.02984924
 0.00  0.60      0.00519737
 0.00  0.61      0.02866971
 0.00  0.62     -0.00978793
 0.00  0.63     -0.01401402
 0.00  0.64      0.01257572
 0.00  0.65     -0.01577338
 0.00  0.66     -0.01668943
 0.00  0.67      0.03769492
 0.00  0.68      0.02347134
 0.00  0.69      0.00431809
 0.00  0.70     -0.00077460
 0.00  0.71      0.05171332
 0.00  0.72      0.04083949
 0.00  0.73      0.02470743
 0.00  0.74     -0.01553444
 0.00  0.75      0.01001569
 0.00  0.76      0.05825069
 0.00  0.77      0.10652040
 0.00  0.78     -0.01848096
 0.00  0.79      0.00686857
 0.00  0.80     -0.00202035
 0.00  0.81     -0.00003444
 0.00  0.82     -0.00000355
 0.00  0.83      0.00000078
 0.00  0.84      0.00000130
 0.00  0.85      0.00000117
 0.00  0.86     -0.00000056
 0.00  0.87      0.00000009
 0.00  0.88     -0.00000037
 0.00  0.89      0.00000000
 0.00  0.90      0.00000003

 0.01  0.00      0.00000004
 0.01  0.01      0.00000000
 0.01  0.02     -0.00000054
 0.01  0.03     -0.00000029
 0.01  0.04      0.00000004
