0 0
0.150602 -0.00218467
0.299668 -0.00663343
0.418469 -0.0133448
0.517501 -0.022749
0.602467 -0.0352656
0.67691 -0.0513119
0.743179 -0.0713042
0.802914 -0.0956573
0.862725 -0.128105
0.917118 -0.166864
0.966641 -0.212081
1.01213 -0.264159
1.05424 -0.323531
1.0935 -0.390631
1.13032 -0.465897
1.16505 -0.54977
1.19796 -0.642701
1.22932 -0.74515
1.25934 -0.857598
1.28824 -0.980552
1.31621 -1.11456
1.34344 -1.26022
1.37017 -1.41822
1.39662 -1.58937
1.4231 -1.7747
1.45003 -1.97555
1.47802 -2.19393
1.50821 -2.4331
1.54316 -2.69951
1.58015 -2.94247
1.61101 -3.08889
1.63807 -3.15692
1.65999 -3.1619
1.67977 -3.12425
1.69987 -3.04423
1.71827 -2.9354
1.73583 -2.80284
1.75307 -2.64918
1.77047 -2.47536
1.78855 -2.28046
1.80812 -2.06008
1.83107 -1.79901
1.85411 -1.54369
1.87428 -1.33213
1.89296 -1.1497
1.91177 -0.980974
1.92959 -0.835711
1.94696 -0.707935
1.96419 -0.594409
1.98148 -0.493068
1.99898 -0.40244
2.01682 -0.321388
2.03513 -0.24899
2.05403 -0.184469
2.07365 -0.127145
2.09411 -0.0764093
2.11557 -0.0317099
2.13819 0.00746565
2.16216 0.041598
2.1877 0.0711427
2.21508 0.096536
2.24462 0.118199
2.27671 0.136543
2.31187 0.151969
2.35074 0.164879
2.39415 0.175677
2.44327 0.184776
2.49972 0.192619
2.56591 0.199705
2.64578 0.206655
2.74672 0.214409
2.88816 0.225084
3.06311 0.239643
3.21258 0.254133
3.36182 0.271321
3.50216 0.290812
3.63509 0.313303
3.76168 0.339688
3.88275 0.371189
3.99937 0.409672
4.11327 0.458338
4.22807 0.523829
4.32305 0.596763
4.40644 0.681824
4.47686 0.776057
4.53262 0.871239
4.58014 0.971919
4.6214 1.07848
4.6578 1.19143
4.69033 1.31125
4.71971 1.43837
4.74647 1.57317
4.77335 1.73053
4.79792 1.89739
4.82044 2.07334
4.84125 2.25867
4.8606 2.45371
4.87871 2.65874
4.89575 2.87402
4.91187 3.09976
4.92719 3.33615
4.94184 3.58333
4.9559 3.84137
4.96947 4.11027
4.98264 4.38992
4.99548 4.68005
5.00807 4.98016
5.02049 5.28937
5.03282 5.60623
5.04515 5.92834
5.05754 6.25177
5.07007 6.57002
5.08274 6.87268
5.09543 7.14436
5.10789 7.36644
5.11975 7.52381
5.13078 7.61199
5.14094 7.63604
5.15034 7.60448
5.15915 7.52537
5.1675 7.40516
5.17552 7.24879
5.1833 7.05993
5.19094 6.84126
5.19853 6.59456
5.20615 6.32077
5.2139 6.01977
5.22192 5.68998
5.23038 5.32722
5.23962 4.9215
5.25044 4.44429
5.26212 3.93961
5.27172 3.54054
5.28052 3.19231
5.28939 2.86134
5.29768 2.57152
5.30564 2.31197
5.31343 2.07668
5.32111 1.86196
5.32876 1.66526
5.33641 1.48472
5.34412 1.31885
5.35192 1.16645
5.35983 1.02651
5.36789 0.898143
5.37613 0.780583
5.38458 0.673128
5.39327 0.575142
5.40223 0.486036
5.4115 0.405261
5.42112 0.332299
5.43113 0.26666
5.44158 0.207875
